"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810129011, MI","260810129011","=""260810129011""","1.32"
"260810129012, MI","260810129012","=""260810129012""","0.11"
"260810129021, MI","260810129021","=""260810129021""","0.27"
"260810129022, MI","260810129022","=""260810129022""","0.69"
"260810129023, MI","260810129023","=""260810129023""","0.02"
"260810136001, MI","260810136001","=""260810136001""","4.87"
"260810136002, MI","260810136002","=""260810136002""","1.25"
"260810141001, MI","260810141001","=""260810141001""","1.31"
"260810141002, MI","260810141002","=""260810141002""","3.20"
"260810142001, MI","260810142001","=""260810142001""","4.91"
"260810142002, MI","260810142002","=""260810142002""","6.43"
"260810143001, MI","260810143001","=""260810143001""","6.56"
"260810143002, MI","260810143002","=""260810143002""","7.27"
"260810147011, MI","260810147011","=""260810147011""","0.00"
"260810147012, MI","260810147012","=""260810147012""","0.98"
"260810147013, MI","260810147013","=""260810147013""","8.02"
"260810147031, MI","260810147031","=""260810147031""","0.02"
"260810147032, MI","260810147032","=""260810147032""","0.38"
"260810147041, MI","260810147041","=""260810147041""","2.07"
"260810147042, MI","260810147042","=""260810147042""","0.39"

"Location: 49548 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
