"Census Tract","FIPS Code","Formatted FIPS","Estimated median age of all people, between 2015-2019."
"26081002400, MI","26081002400","=""26081002400""","25"
"26081002500, MI","26081002500","=""26081002500""","28"
"26081003300, MI","26081003300","=""26081003300""","32"
"26081003400, MI","26081003400","=""26081003400""","41"
"26081004300, MI","26081004300","=""26081004300""","38"
"26081012300, MI","26081012300","=""26081012300""","42"
"26081012400, MI","26081012400","=""26081012400""","37"
"26081012500, MI","26081012500","=""26081012500""","37"

"Location: 49506 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
