"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810043001, MI","260810043001","=""260810043001""","0.62"
"260810045001, MI","260810045001","=""260810045001""","3.56"
"260810045002, MI","260810045002","=""260810045002""","0.12"
"260810045003, MI","260810045003","=""260810045003""","0.30"
"260810045004, MI","260810045004","=""260810045004""","1.24"
"260810045005, MI","260810045005","=""260810045005""","0.75"
"260810045006, MI","260810045006","=""260810045006""","0.05"
"260810046001, MI","260810046001","=""260810046001""","1.76"
"260810046002, MI","260810046002","=""260810046002""","0.11"
"260810046003, MI","260810046003","=""260810046003""","6.09"
"260810127011, MI","260810127011","=""260810127011""","0.44"
"260810127012, MI","260810127012","=""260810127012""","1.20"
"260810127013, MI","260810127013","=""260810127013""","1.04"
"260810127014, MI","260810127014","=""260810127014""","0.02"
"260810127021, MI","260810127021","=""260810127021""","0.14"
"260810127022, MI","260810127022","=""260810127022""","0.06"
"260810127023, MI","260810127023","=""260810127023""","0.03"
"260810127031, MI","260810127031","=""260810127031""","0.35"
"260810127032, MI","260810127032","=""260810127032""","0.18"
"260810127033, MI","260810127033","=""260810127033""","0.04"
"260810127034, MI","260810127034","=""260810127034""","4.25"
"260810128001, MI","260810128001","=""260810128001""","0.18"
"260810128002, MI","260810128002","=""260810128002""","0.14"
"260810128003, MI","260810128003","=""260810128003""","0.13"
"260810148041, MI","260810148041","=""260810148041""","0.30"
"260810148044, MI","260810148044","=""260810148044""","1.13"

"Location: 49508 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
