"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810024001, MI","260810024001","=""260810024001""","2.72"
"260810024002, MI","260810024002","=""260810024002""","1.67"
"260810025002, MI","260810025002","=""260810025002""","1.05"
"260810025003, MI","260810025003","=""260810025003""","1.41"
"260810032001, MI","260810032001","=""260810032001""","0.25"
"260810032002, MI","260810032002","=""260810032002""","0.03"
"260810033001, MI","260810033001","=""260810033001""","0.17"
"260810033002, MI","260810033002","=""260810033002""","5.59"
"260810033003, MI","260810033003","=""260810033003""","0.87"
"260810034001, MI","260810034001","=""260810034001""","0.18"
"260810034002, MI","260810034002","=""260810034002""","0.10"
"260810034003, MI","260810034003","=""260810034003""","0.56"
"260810043002, MI","260810043002","=""260810043002""","0.06"
"260810043003, MI","260810043003","=""260810043003""","0.14"
"260810044005, MI","260810044005","=""260810044005""","1.99"
"260810123001, MI","260810123001","=""260810123001""","0.09"
"260810123002, MI","260810123002","=""260810123002""","1.74"
"260810123003, MI","260810123003","=""260810123003""","1.30"
"260810124001, MI","260810124001","=""260810124001""","6.75"
"260810124002, MI","260810124002","=""260810124002""","0.15"
"260810124003, MI","260810124003","=""260810124003""","0.11"
"260810125001, MI","260810125001","=""260810125001""","0.12"
"260810125002, MI","260810125002","=""260810125002""","0.07"
"260810125003, MI","260810125003","=""260810125003""","0.17"

"Location: 49506 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
