"Census Tract","FIPS Code","Formatted FIPS","Percent of all people who were American Indian or Alaska Native "
"26081000200, MI","26081000200","=""26081000200""","0.67"
"26081000300, MI","26081000300","=""26081000300""","0.36"
"26081000400, MI","26081000400","=""26081000400""","0.64"
"26081000500, MI","26081000500","=""26081000500""","0.23"
"26081000900, MI","26081000900","=""26081000900""","0.56"
"26081001000, MI","26081001000","=""26081001000""","0.71"
"26081001102, MI","26081001102","=""26081001102""","0.37"
"26081001103, MI","26081001103","=""26081001103""","0.53"

"Location: 49505 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
