"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of people with a Bachelor's degree, between 20"
"26081001200, MI","26081001200","=""26081001200""","27.57"
"26081001300, MI","26081001300","=""26081001300""","12.23"
"26081001400, MI","26081001400","=""26081001400""","37.83"
"26081002000, MI","26081002000","=""26081002000""","24.50"
"26081002100, MI","26081002100","=""26081002100""","39.09"
"26081002200, MI","26081002200","=""26081002200""","34.17"
"26081002300, MI","26081002300","=""26081002300""","40.72"
"26081002600, MI","26081002600","=""26081002600""","6.02"
"26081002900, MI","26081002900","=""26081002900""","41.77"
"26081003000, MI","26081003000","=""26081003000""","31.41"
"26081003900, MI","26081003900","=""26081003900""","1.97"

"Location: 49503 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
