"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810044001, MI","260810044001","=""260810044001""","0.72"
"260810044002, MI","260810044002","=""260810044002""","6.16"
"260810044003, MI","260810044003","=""260810044003""","1.93"
"260810044004, MI","260810044004","=""260810044004""","2.92"
"260810118041, MI","260810118041","=""260810118041""","1.46"
"260810118042, MI","260810118042","=""260810118042""","2.02"
"260810118043, MI","260810118043","=""260810118043""","5.98"
"260810122011, MI","260810122011","=""260810122011""","3.37"
"260810122012, MI","260810122012","=""260810122012""","3.07"
"260810122013, MI","260810122013","=""260810122013""","0.34"
"260810122032, MI","260810122032","=""260810122032""","0.53"
"260810126051, MI","260810126051","=""260810126051""","11.52"
"260810126052, MI","260810126052","=""260810126052""","0.12"
"260810126061, MI","260810126061","=""260810126061""","0.00"
"260810126062, MI","260810126062","=""260810126062""","0.27"
"260810126063, MI","260810126063","=""260810126063""","2.92"
"260810126064, MI","260810126064","=""260810126064""","8.40"

"Location: 49546 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
