"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of population with less than a 9th grade educa"
"26081000200, MI","26081000200","=""26081000200""","3.85"
"26081000300, MI","26081000300","=""26081000300""","1.64"
"26081000400, MI","26081000400","=""26081000400""","1.48"
"26081000500, MI","26081000500","=""26081000500""","0.00"
"26081000900, MI","26081000900","=""26081000900""","4.20"
"26081001000, MI","26081001000","=""26081001000""","2.71"
"26081001101, MI","26081001101","=""26081001101""","3.36"
"26081001102, MI","26081001102","=""26081001102""","4.10"

"Location: 49505 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
