"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of people with a high school diploma and no co"
"26081012901, MI","26081012901","=""26081012901""","34.04"
"26081012902, MI","26081012902","=""26081012902""","36.14"
"26081013600, MI","26081013600","=""26081013600""","35.71"
"26081014100, MI","26081014100","=""26081014100""","41.02"
"26081014200, MI","26081014200","=""26081014200""","32.31"
"26081014300, MI","26081014300","=""26081014300""","37.35"
"26081014701, MI","26081014701","=""26081014701""","41.16"
"26081014703, MI","26081014703","=""26081014703""","39.74"
"26081014704, MI","26081014704","=""26081014704""","36.09"

"Location: 49548 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
