"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810028001, MI","260810028001","=""260810028001""","2.56"
"260810028002, MI","260810028002","=""260810028002""","1.01"
"260810031001, MI","260810031001","=""260810031001""","0.04"
"260810031002, MI","260810031002","=""260810031002""","0.02"
"260810031003, MI","260810031003","=""260810031003""","0.12"
"260810032003, MI","260810032003","=""260810032003""","0.05"
"260810032004, MI","260810032004","=""260810032004""","0.00"
"260810032005, MI","260810032005","=""260810032005""","0.01"
"260810035001, MI","260810035001","=""260810035001""","0.07"
"260810035002, MI","260810035002","=""260810035002""","0.24"
"260810035003, MI","260810035003","=""260810035003""","0.65"
"260810035004, MI","260810035004","=""260810035004""","0.28"
"260810036001, MI","260810036001","=""260810036001""","0.42"
"260810036002, MI","260810036002","=""260810036002""","2.76"
"260810037001, MI","260810037001","=""260810037001""","0.10"
"260810037002, MI","260810037002","=""260810037002""","0.36"
"260810038001, MI","260810038001","=""260810038001""","6.32"
"260810038002, MI","260810038002","=""260810038002""","0.59"
"260810038003, MI","260810038003","=""260810038003""","0.93"
"260810040001, MI","260810040001","=""260810040001""","2.31"
"260810041001, MI","260810041001","=""260810041001""","0.96"
"260810041002, MI","260810041002","=""260810041002""","2.03"
"260810042001, MI","260810042001","=""260810042001""","0.72"
"260810042002, MI","260810042002","=""260810042002""","0.30"

"Location: 49507 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
