"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people who were foreign born as of 2015"
"26081002400, MI","26081002400","=""26081002400""","3.51"
"26081002500, MI","26081002500","=""26081002500""","7.70"
"26081003300, MI","26081003300","=""26081003300""","6.51"
"26081003400, MI","26081003400","=""26081003400""","6.43"
"26081004300, MI","26081004300","=""26081004300""","5.17"
"26081012300, MI","26081012300","=""26081012300""","2.59"
"26081012400, MI","26081012400","=""26081012400""","5.69"
"26081012500, MI","26081012500","=""26081012500""","7.38"

"Location: 49506 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
