"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260050304022, MI","260050304022","=""260050304022""","0.28"
"260810148031, MI","260810148031","=""260810148031""","0.32"
"260810148032, MI","260810148032","=""260810148032""","0.41"
"260810148042, MI","260810148042","=""260810148042""","0.85"
"260810148043, MI","260810148043","=""260810148043""","1.61"
"260810148051, MI","260810148051","=""260810148051""","0.25"
"260810148052, MI","260810148052","=""260810148052""","0.11"
"260810148071, MI","260810148071","=""260810148071""","5.43"
"260810148072, MI","260810148072","=""260810148072""","0.52"
"260810148073, MI","260810148073","=""260810148073""","9.43"

"Location: 49316 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
