"Census Tract","FIPS Code","Formatted FIPS","Population in 2020."
"26081004501, MI","26081004501","=""26081004501""","3733"
"26081004502, MI","26081004502","=""26081004502""","4338"
"26081004600, MI","26081004600","=""26081004600""","6098"
"26081012702, MI","26081012702","=""26081012702""","5025"
"26081012703, MI","26081012703","=""26081012703""","5057"
"26081012704, MI","26081012704","=""26081012704""","2355"
"26081012705, MI","26081012705","=""26081012705""","4616"
"26081012800, MI","26081012800","=""26081012800""","4529"
"26081014809, MI","26081014809","=""26081014809""","6341"

"Location: 49508 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
