"Census Tract","FIPS Code","Formatted FIPS","Percent of all people who were White in 2020."
"26081013400, MI","26081013400","=""26081013400""","65.03"
"26081013801, MI","26081013801","=""26081013801""","64.72"
"26081013803, MI","26081013803","=""26081013803""","40.63"
"26081013804, MI","26081013804","=""26081013804""","57.86"
"26081013900, MI","26081013900","=""26081013900""","70.80"
"26081014504, MI","26081014504","=""26081014504""","79.22"
"26081014506, MI","26081014506","=""26081014506""","79.57"

"Location: 49519 (Zip)"

"Census Tract Boundary Year: 2020"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
