"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810134001, MI","260810134001","=""260810134001""","3.01"
"260810134002, MI","260810134002","=""260810134002""","0.97"
"260810134003, MI","260810134003","=""260810134003""","1.27"
"260810138011, MI","260810138011","=""260810138011""","3.67"
"260810138012, MI","260810138012","=""260810138012""","1.14"
"260810138021, MI","260810138021","=""260810138021""","0.18"
"260810138022, MI","260810138022","=""260810138022""","0.28"
"260810138023, MI","260810138023","=""260810138023""","0.01"
"260810138024, MI","260810138024","=""260810138024""","0.49"
"260810139001, MI","260810139001","=""260810139001""","0.05"
"260810139002, MI","260810139002","=""260810139002""","0.10"
"260810139003, MI","260810139003","=""260810139003""","0.58"
"260810139004, MI","260810139004","=""260810139004""","0.12"
"260810145012, MI","260810145012","=""260810145012""","0.76"
"260810145013, MI","260810145013","=""260810145013""","0.01"
"260810145014, MI","260810145014","=""260810145014""","0.37"
"260810145021, MI","260810145021","=""260810145021""","0.34"
"260810145024, MI","260810145024","=""260810145024""","6.22"

"Location: 49519 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
