"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of people with a Bachelor's degree, between 20"
"26081002400, MI","26081002400","=""26081002400""","45.37"
"26081002500, MI","26081002500","=""26081002500""","42.68"
"26081003300, MI","26081003300","=""26081003300""","28.58"
"26081003400, MI","26081003400","=""26081003400""","33.99"
"26081004300, MI","26081004300","=""26081004300""","38.06"
"26081012300, MI","26081012300","=""26081012300""","43.05"
"26081012400, MI","26081012400","=""26081012400""","40.39"
"26081012500, MI","26081012500","=""26081012500""","42.01"

"Location: 49506 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
