"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all Hispanic or Latino people who were livi"
"26081000100, MI","26081000100","=""26081000100""","14.80"
"26081011200, MI","26081011200","=""26081011200""","0.00"
"26081011301, MI","26081011301","=""26081011301""","5.16"
"26081011302, MI","26081011302","=""26081011302""","0.00"
"26081011801, MI","26081011801","=""26081011801""","0.00"
"26081011803, MI","26081011803","=""26081011803""","0.00"

"Location: 49525 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
