"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810002001, MI","260810002001","=""260810002001""","0.14"
"260810002002, MI","260810002002","=""260810002002""","1.07"
"260810003001, MI","260810003001","=""260810003001""","0.31"
"260810003002, MI","260810003002","=""260810003002""","0.60"
"260810003003, MI","260810003003","=""260810003003""","0.11"
"260810004001, MI","260810004001","=""260810004001""","0.12"
"260810004002, MI","260810004002","=""260810004002""","0.25"
"260810004003, MI","260810004003","=""260810004003""","0.47"
"260810005001, MI","260810005001","=""260810005001""","0.06"
"260810005002, MI","260810005002","=""260810005002""","0.36"
"260810005003, MI","260810005003","=""260810005003""","0.17"
"260810005004, MI","260810005004","=""260810005004""","0.04"
"260810009001, MI","260810009001","=""260810009001""","0.35"
"260810009002, MI","260810009002","=""260810009002""","0.95"
"260810009003, MI","260810009003","=""260810009003""","1.79"
"260810010001, MI","260810010001","=""260810010001""","0.09"
"260810010002, MI","260810010002","=""260810010002""","0.03"
"260810010003, MI","260810010003","=""260810010003""","0.65"
"260810010004, MI","260810010004","=""260810010004""","0.70"
"260810011011, MI","260810011011","=""260810011011""","0.26"
"260810011012, MI","260810011012","=""260810011012""","1.62"
"260810011021, MI","260810011021","=""260810011021""","0.04"
"260810011022, MI","260810011022","=""260810011022""","0.17"
"260810013001, MI","260810013001","=""260810013001""","0.56"
"260810013002, MI","260810013002","=""260810013002""","0.19"

"Location: 49505 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
