"Census Tract","FIPS Code","Formatted FIPS","Estimated median income of a household, between 2015-2019."
"26081000200, MI","26081000200","=""26081000200""","57778"
"26081000300, MI","26081000300","=""26081000300""","65349"
"26081000400, MI","26081000400","=""26081000400""","63616"
"26081000500, MI","26081000500","=""26081000500""","63491"
"26081000900, MI","26081000900","=""26081000900""","46891"
"26081001000, MI","26081001000","=""26081001000""","54600"
"26081001101, MI","26081001101","=""26081001101""","34578"
"26081001102, MI","26081001102","=""26081001102""","40735"

"Location: 49505 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
