"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of people with a high school diploma and no co"
"26081000200, MI","26081000200","=""26081000200""","33.08"
"26081000300, MI","26081000300","=""26081000300""","20.25"
"26081000400, MI","26081000400","=""26081000400""","22.68"
"26081000500, MI","26081000500","=""26081000500""","17.75"
"26081000900, MI","26081000900","=""26081000900""","28.45"
"26081001000, MI","26081001000","=""26081001000""","21.36"
"26081001101, MI","26081001101","=""26081001101""","26.03"
"26081001102, MI","26081001102","=""26081001102""","20.35"

"Location: 49505 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
