"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810006001, MI","260810006001","=""260810006001""","0.17"
"260810006002, MI","260810006002","=""260810006002""","0.52"
"260810007001, MI","260810007001","=""260810007001""","0.18"
"260810007002, MI","260810007002","=""260810007002""","0.01"
"260810007003, MI","260810007003","=""260810007003""","0.15"
"260810008001, MI","260810008001","=""260810008001""","11.02"
"260810008002, MI","260810008002","=""260810008002""","4.53"
"260810008003, MI","260810008003","=""260810008003""","0.56"
"260810015001, MI","260810015001","=""260810015001""","4.48"
"260810015002, MI","260810015002","=""260810015002""","4.56"
"260810015003, MI","260810015003","=""260810015003""","4.48"
"260810016001, MI","260810016001","=""260810016001""","0.25"
"260810016002, MI","260810016002","=""260810016002""","0.05"
"260810016003, MI","260810016003","=""260810016003""","0.22"
"260810016004, MI","260810016004","=""260810016004""","0.05"
"260810016005, MI","260810016005","=""260810016005""","0.14"
"260810017001, MI","260810017001","=""260810017001""","1.03"
"260810017002, MI","260810017002","=""260810017002""","0.03"
"260810017003, MI","260810017003","=""260810017003""","0.30"
"260810018001, MI","260810018001","=""260810018001""","0.48"
"260810018002, MI","260810018002","=""260810018002""","0.46"
"260810018003, MI","260810018003","=""260810018003""","0.49"
"260810018004, MI","260810018004","=""260810018004""","0.41"
"260810018005, MI","260810018005","=""260810018005""","0.15"
"260810019001, MI","260810019001","=""260810019001""","7.62"
"260810019002, MI","260810019002","=""260810019002""","0.27"
"260810019003, MI","260810019003","=""260810019003""","0.20"
"260810019004, MI","260810019004","=""260810019004""","1.04"
"260810019005, MI","260810019005","=""260810019005""","0.03"
"260810019006, MI","260810019006","=""260810019006""","0.22"
"260810027001, MI","260810027001","=""260810027001""","3.46"
"260810027002, MI","260810027002","=""260810027002""","0.68"
"260810027003, MI","260810027003","=""260810027003""","1.61"

"Location: 49504 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
