"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810116002, MI","260810116002","=""260810116002""","0.26"
"260810116003, MI","260810116003","=""260810116003""","0.13"
"260810116004, MI","260810116004","=""260810116004""","0.19"
"260810116005, MI","260810116005","=""260810116005""","3.92"
"260810117011, MI","260810117011","=""260810117011""","0.49"
"260810117012, MI","260810117012","=""260810117012""","0.73"
"260810117013, MI","260810117013","=""260810117013""","0.33"
"260810117021, MI","260810117021","=""260810117021""","1.44"
"260810117022, MI","260810117022","=""260810117022""","0.26"
"261390214003, MI","261390214003","=""261390214003""","2.39"
"261390214004, MI","261390214004","=""261390214004""","0.56"

"Location: 49534 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
