"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810133001, MI","260810133001","=""260810133001""","1.16"
"260810133002, MI","260810133002","=""260810133002""","0.52"
"260810133003, MI","260810133003","=""260810133003""","0.57"
"260810135001, MI","260810135001","=""260810135001""","4.04"
"260810135002, MI","260810135002","=""260810135002""","0.76"
"260810135003, MI","260810135003","=""260810135003""","0.45"
"260810137001, MI","260810137001","=""260810137001""","0.45"
"260810137002, MI","260810137002","=""260810137002""","0.49"
"260810137003, MI","260810137003","=""260810137003""","0.78"
"260810137004, MI","260810137004","=""260810137004""","0.31"
"260810140001, MI","260810140001","=""260810140001""","0.14"
"260810140002, MI","260810140002","=""260810140002""","0.01"
"260810140003, MI","260810140003","=""260810140003""","0.05"
"260810140004, MI","260810140004","=""260810140004""","0.88"
"260810140005, MI","260810140005","=""260810140005""","0.37"
"260810140006, MI","260810140006","=""260810140006""","0.81"
"260810145022, MI","260810145022","=""260810145022""","1.81"
"260810145023, MI","260810145023","=""260810145023""","10.75"

"Location: 49509 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
