"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810146011, MI","260810146011","=""260810146011""","0.49"
"260810146012, MI","260810146012","=""260810146012""","0.24"
"260810146013, MI","260810146013","=""260810146013""","0.22"
"260810146014, MI","260810146014","=""260810146014""","1.23"
"260810146015, MI","260810146015","=""260810146015""","1.63"
"260810146021, MI","260810146021","=""260810146021""","0.78"
"260810146022, MI","260810146022","=""260810146022""","9.04"
"260810146023, MI","260810146023","=""260810146023""","1.06"
"260810146024, MI","260810146024","=""260810146024""","7.55"
"260810148053, MI","260810148053","=""260810148053""","0.60"

"Location: 49315 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
