"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of people with a Bachelor's degree, between 20"
"26081000200, MI","26081000200","=""26081000200""","18.44"
"26081000300, MI","26081000300","=""26081000300""","32.58"
"26081000400, MI","26081000400","=""26081000400""","35.37"
"26081000500, MI","26081000500","=""26081000500""","29.57"
"26081000900, MI","26081000900","=""26081000900""","16.59"
"26081001000, MI","26081001000","=""26081001000""","23.62"
"26081001101, MI","26081001101","=""26081001101""","24.67"
"26081001102, MI","26081001102","=""26081001102""","28.38"

"Location: 49505 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"https://www.policymap.com/data/our-data-directory/#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
